iter	Passed	Remaining
0	3248	3245621
1	6478	3232910
2	9913	3294626
3	13619	3391171
4	17037	3390427
5	20260	3356504
6	23643	3353956
7	27155	3367221
8	30692	3379615
9	34175	3383329
10	37738	3393066
11	41218	3393669
12	44845	3404793
13	48478	3414249
14	52006	3415080
15	55432	3409094
16	59043	3414090
17	62463	3407720
18	66135	3414659
19	69573	3409087
20	73033	3404744
21	76559	3403398
22	80025	3399350
23	83845	3409712
24	87893	3427857
25	91827	3440001
26	95712	3449200
27	98998	3436648
28	100027	3349206
29	103667	3351920
30	107452	3358744
31	111159	3362588
32	115251	3377228
33	119105	3384007
34	122524	3378183
35	126095	3376566
36	129738	3376697
37	133336	3375519
38	137496	3388049
39	141170	3388083
40	144679	3384084
41	148587	3389201
42	152513	3394306
43	156046	3390462
44	159974	3395020
45	163376	3388280
46	167179	3389836
47	170646	3384482
48	174280	3382470
49	177565	3373740
50	180964	3367366
51	184859	3370137
52	188860	3374547
53	192269	3368269
54	196138	3370015
55	199943	3370474
56	203686	3369767
57	207080	3363271
58	210435	3356271
59	214253	3356633
60	217906	3354328
61	221438	3350143
62	225082	3347662
63	228746	3345418
64	232579	3345573
65	236677	3349348
66	239907	3340794
67	243772	3341111
68	247323	3337072
69	251435	3340496
70	254916	3335451
71	259134	3339950
72	262980	3339497
73	267344	3345416
74	271689	3350842
75	275843	3353670
76	279447	3349740
77	283834	3355070
78	287664	3353655
79	291784	3355524
80	295460	3352205
81	299371	3351501
82	302831	3345739
83	306102	3337978
84	309359	3330166
85	313225	3328928
86	317551	3332468
87	321296	3329795
88	324952	3326201
89	328632	3322839
90	332657	3322918
91	336266	3318804
92	340009	3316007
93	343505	3310809
94	347735	3312639
95	351684	3311696
96	355295	3307540
97	359314	3307159
98	363280	3306215
99	367190	3304713
100	371278	3304742
101	375531	3306149
102	379662	3306384
103	384061	3308838
104	387987	3307129
105	392666	3311738
106	397395	3316580
107	402165	3321585
108	406483	3322721
109	409745	3315210
110	413157	3308978
111	416741	3304162
112	420642	3301856
113	425864	3309792
114	429863	3308076
115	433420	3302960
116	438143	3306675
117	441750	3301895
118	445718	3299816
119	449741	3298107
120	453196	3292229
121	456592	3285966
122	461753	3292342
123	465641	3289533
124	469174	3284223
125	472912	3280358
126	477475	3282174
127	483000	3290438
128	486456	3284522
129	491760	3291010
130	495725	3288436
131	500410	3290575
132	503850	3284497
133	508071	3283505
134	512448	3283467
135	516199	3279382
136	520113	3276336
137	524147	3274024
138	527912	3270019
139	533155	3275095
140	537954	3277323
141	542176	3275967
142	545782	3270876
143	549683	3267565
144	553150	3261683
145	558693	3267973
146	562215	3262381
147	567633	3267729
148	571636	3264851
149	576814	3268617
150	580362	3263096
151	583863	3257345
152	589404	3262912
153	593459	3260174
154	596981	3254510
155	600956	3251326
156	605027	3248649
157	610730	3254653
158	615743	3256858
159	619408	3251896
160	624859	3256255
161	629898	3258364
162	635801	3264821
163	640485	3264911
164	644356	3260831
165	648319	3257217
166	652483	3254603
167	656682	3252139
168	662341	3256837
169	666674	3254938
170	670861	3252306
171	676888	3258511
172	680777	3254353
173	685616	3254708
174	689428	3250161
175	693449	3246604
176	697193	3241752
177	701171	3237993
178	706297	3239499
179	709947	3234206
180	714262	3231937
181	718604	3229772
182	723005	3227846
183	727086	3224472
184	730987	3220294
185	737083	3225732
186	741145	3222200
187	745105	3218220
188	748563	3212091
189	752124	3206426
190	756176	3202862
191	761103	3202975
192	766504	3205019
193	770668	3201849
194	774539	3197459
195	779504	3197559
196	784448	3197525
197	787942	3191564
198	792190	3188667
199	796789	3187159
200	800529	3182202
201	804433	3177910
202	808364	3173726
203	812236	3169316
204	816051	3164686
205	819858	3160037
206	823189	3153573
207	826749	3148009
208	830849	3144506
209	834797	3140427
210	838663	3136044
211	843640	3135794
212	848561	3135296
213	852823	3132334
214	856260	3126346
215	860849	3124564
216	864352	3118838
217	868620	3115876
218	872459	3111374
219	876450	3107414
220	881467	3107072
221	886142	3105490
222	890212	3101771
223	894235	3097888
224	898970	3096454
225	902821	3091964
226	906879	3088183
227	911239	3085425
228	916266	3084896
229	921618	3085417
230	926379	3083921
231	930095	3078937
232	933999	3074580
233	937491	3068883
234	941084	3063529
235	944830	3058687
236	948646	3054081
237	952424	3049359
238	956401	3045278
239	961672	3045294
240	965389	3040375
241	970241	3039020
242	975128	3037746
243	979141	3033732
244	983133	3029655
245	987103	3025512
246	990901	3020846
247	994076	3014297
248	997726	3009208
249	1001588	3004765
250	1006638	3003872
251	1012748	3006093
252	1016713	3001916
253	1020977	2998619
254	1024712	2993767
255	1030084	2993681
256	1035339	2993217
257	1040979	2993825
258	1046595	2994315
259	1050140	2988862
260	1053840	2983861
261	1059040	2983098
262	1064425	2982820
263	1068568	2979040
264	1072422	2974453
265	1076264	2969842
266	1081638	2969442
267	1086894	2968682
268	1090305	2962873
269	1093487	2956465
270	1099785	2958462
271	1103795	2954277
272	1107211	2948508
273	1112182	2946877
274	1116600	2943765
275	1121538	2942007
276	1124997	2936365
277	1128445	2930711
278	1132014	2925384
279	1135784	2920587
280	1139287	2915117
281	1142635	2909264
282	1146065	2903636
283	1150056	2899437
284	1153754	2894507
285	1157880	2890653
286	1163211	2889790
287	1167172	2885509
288	1171022	2880958
289	1174848	2876353
290	1179112	2872820
291	1183116	2868652
292	1187127	2864502
293	1191013	2860052
294	1196093	2858460
295	1199984	2854016
296	1203680	2849116
297	1207603	2844756
298	1213572	2845198
299	1217473	2840772
300	1220927	2835309
301	1226265	2834216
302	1231897	2833770
303	1235642	2828970
304	1239095	2823513
305	1242769	2818569
306	1246938	2814750
307	1250529	2809632
308	1256584	2810032
309	1260534	2805706
310	1264503	2801424
311	1267865	2795806
312	1271418	2790621
313	1275638	2786903
314	1280009	2783513
315	1283558	2778335
316	1287179	2773322
317	1290716	2768139
318	1294682	2763883
319	1298593	2759510
320	1302291	2754690
321	1306224	2750374
322	1311139	2748116
323	1314944	2743525
324	1319613	2740735
325	1323127	2735545
326	1327357	2731839
327	1331927	2728827
328	1335739	2724259
329	1339768	2720136
330	1344015	2716454
331	1348796	2713842
332	1353752	2711570
333	1357800	2707469
334	1361731	2703137
335	1365160	2697816
336	1371037	2697322
337	1374617	2692298
338	1378195	2687277
339	1382168	2683033
340	1385679	2677896
341	1389305	2672990
342	1394161	2670448
343	1397662	2665309
344	1403083	2663824
345	1406941	2659362
346	1412144	2657436
347	1417317	2655434
348	1421384	2651349
349	1425674	2647681
350	1429240	2642669
351	1434248	2640321
352	1438306	2636216
353	1441782	2631048
354	1447367	2629724
355	1453290	2628986
356	1458674	2627247
357	1462730	2623109
358	1466613	2618660
359	1470350	2613957
360	1474282	2609603
361	1479544	2607594
362	1483809	2603819
363	1487658	2599315
364	1491192	2594266
365	1494913	2589550
366	1498479	2584571
367	1501543	2578737
368	1504946	2573498
369	1508331	2568240
370	1512245	2563888
371	1515701	2558765
372	1519618	2554425
373	1522973	2549148
374	1527746	2546243
375	1531471	2541591
376	1534908	2536466
377	1538393	2531429
378	1542396	2527251
379	1546369	2523023
380	1550339	2518792
381	1555360	2516263
382	1559004	2511502
383	1562992	2507300
384	1567078	2503255
385	1570263	2497776
386	1573739	2492770
387	1577895	2488846
388	1582757	2486027
389	1587318	2482729
390	1591207	2478376
391	1595178	2474154
392	1599318	2470193
393	1604107	2467231
394	1608050	2462962
395	1612166	2458960
396	1616269	2454938
397	1620132	2450551
398	1623890	2446011
399	1627944	2441916
400	1631729	2437420
401	1635569	2433011
402	1640393	2430062
403	1644909	2426648
404	1649999	2424073
405	1653602	2419310
406	1657740	2415331
407	1661361	2410603
408	1664919	2405788
409	1669700	2402740
410	1673410	2398147
411	1677513	2394120
412	1681021	2389248
413	1685962	2386410
414	1689979	2382260
415	1693859	2377918
416	1699991	2376726
417	1703567	2371952
418	1706984	2366963
419	1712375	2364709
420	1716740	2361027
421	1720632	2356696
422	1724643	2352527
423	1728842	2348616
424	1732652	2344177
425	1736023	2339148
426	1740819	2336040
427	1744833	2331879
428	1748204	2326863
429	1752086	2322533
430	1755646	2317779
431	1760688	2314978
432	1764416	2310448
433	1769818	2308104
434	1773895	2304025
435	1777189	2298932
436	1782268	2296148
437	1787982	2294169
438	1791907	2289886
439	1796810	2286849
440	1801539	2283584
441	1805881	2279823
442	1809397	2275020
443	1813214	2270601
444	1816656	2265717
445	1822218	2263473
446	1826144	2259190
447	1829471	2254170
448	1833064	2249484
449	1837664	2246033
450	1841698	2241890
451	1845310	2237235
452	1850361	2234322
453	1854745	2230597
454	1859374	2227162
455	1863075	2222616
456	1867854	2219355
457	1871864	2215176
458	1876280	2211476
459	1879691	2206594
460	1883701	2202418
461	1887765	2198306
462	1891762	2194117
463	1895017	2189071
464	1899989	2186009
465	1904224	2182094
466	1908213	2177896
467	1912236	2173738
468	1917883	2171419
469	1923197	2168712
470	1927118	2164428
471	1931174	2160296
472	1936094	2157128
473	1941539	2154535
474	1945540	2150334
475	1950818	2147539
476	1954308	2142774
477	1959733	2140127
478	1964851	2137134
479	1968862	2132933
480	1973557	2129472
481	1977566	2125268
482	1982982	2122571
483	1988101	2119545
484	1991734	2114935
485	1996245	2111255
486	2000315	2107108
487	2004261	2102831
488	2007799	2098129
489	2013175	2095345
490	2018023	2092004
491	2021498	2087238
492	2024884	2082385
493	2030126	2079440
494	2034125	2075218
495	2037873	2070742
496	2042634	2067294
497	2047020	2063462
498	2050528	2058747
499	2055828	2055828
500	2060830	2052604
501	2066049	2049587
502	2070730	2046029
503	2076002	2043050
504	2079719	2038536
505	2085414	2035957
506	2089335	2031641
507	2092949	2027029
508	2096941	2022786
509	2100474	2018102
510	2105993	2015324
511	2109597	2010709
512	2114587	2007415
513	2118589	2003180
514	2122049	1998434
515	2126049	1994201
516	2131694	1991505
517	2136119	1987663
518	2141424	1984634
519	2145365	1980337
520	2149976	1976657
521	2153795	1972249
522	2158547	1968694
523	2164130	1965889
524	2168345	1961836
525	2174426	1959463
526	2178440	1955222
527	2182542	1951060
528	2187247	1947435
529	2191728	1943608
530	2195565	1939209
531	2199569	1934959
532	2203559	1930698
533	2209097	1927789
534	2212547	1923055
535	2216104	1918419
536	2219957	1914041
537	2223928	1909767
538	2228840	1906299
539	2232901	1902101
540	2238379	1899105
541	2242187	1894689
542	2246076	1890344
543	2249568	1885667
544	2253677	1881510
545	2258409	1877871
546	2262380	1873598
547	2266533	1869476
548	2270107	1864879
549	2274096	1860624
550	2279048	1857155
551	2282755	1852670
552	2286049	1847855
553	2290054	1843617
554	2294258	1839540
555	2298451	1835454
556	2303775	1832266
557	2307807	1828048
558	2311029	1823191
559	2316531	1820131
560	2321191	1816404
561	2324907	1811938
562	2328845	1807647
563	2332382	1803047
564	2336219	1798681
565	2341145	1795153
566	2345097	1790877
567	2349029	1786585
568	2353031	1782349
569	2357993	1778837
570	2361509	1774233
571	2365082	1769677
572	2370475	1766479
573	2375459	1762971
574	2379838	1759010
575	2383412	1754456
576	2386872	1749821
577	2390623	1745403
578	2394623	1741168
579	2400038	1737958
580	2403411	1733269
581	2406712	1728532
582	2410585	1724209
583	2414172	1719684
584	2417504	1714981
585	2422182	1711234
586	2426359	1707132
587	2430841	1703242
588	2434680	1698902
589	2439965	1695569
590	2443574	1691069
591	2447591	1686853
592	2452280	1683099
593	2457522	1679721
594	2463447	1676800
595	2467464	1672576
596	2471162	1668137
597	2475463	1664107
598	2480455	1660538
599	2484808	1656539
600	2488984	1652420
601	2494571	1649235
602	2498488	1644942
603	2502490	1640705
604	2506846	1636701
605	2511054	1632599
606	2516716	1629439
607	2523009	1626677
608	2528022	1623082
609	2532017	1618831
610	2537360	1615438
611	2541682	1611393
612	2545789	1607211
613	2551703	1604165
614	2558164	1601452
615	2564635	1598734
616	2569545	1595033
617	2574590	1591413
618	2579149	1587489
619	2583622	1583510
620	2587572	1579211
621	2593050	1575840
622	2598259	1572301
623	2602261	1568029
624	2607924	1564754
625	2612166	1560623
626	2617750	1557290
627	2621853	1553072
628	2625627	1548661
629	2631581	1545532
630	2635416	1541154
631	2640509	1537511
632	2644463	1533203
633	2648417	1528897
634	2653029	1524969
635	2657613	1521024
636	2662045	1516989
637	2666287	1512846
638	2671162	1509060
639	2676089	1505300
640	2679975	1500953
641	2684097	1496739
642	2688125	1492473
643	2691675	1487944
644	2696514	1484127
645	2700567	1479877
646	2704482	1475552
647	2708208	1471125
648	2711644	1466544
649	2717244	1463131
650	2721144	1458801
651	2724898	1454393
652	2730326	1450878
653	2734323	1446599
654	2737918	1442109
655	2741393	1437559
656	2745340	1433260
657	2749190	1428910
658	2752904	1424492
659	2757988	1420781
660	2761401	1416210
661	2764978	1411726
662	2770635	1408301
663	2774066	1403744
664	2777995	1399441
665	2781935	1395144
666	2786379	1391101
667	2791311	1387298
668	2794884	1382820
669	2798764	1378495
670	2802218	1373963
671	2806563	1369870
672	2810328	1365493
673	2813939	1361044
674	2817723	1356681
675	2821180	1352163
676	2825141	1347889
677	2828787	1343465
678	2834262	1339909
679	2838440	1335736
680	2842605	1331558
681	2846763	1327376
682	2850585	1323038
683	2854480	1318736
684	2859871	1315123
685	2863440	1310670
686	2867433	1306414
687	2870851	1301897
688	2874571	1297520
689	2878233	1293119
690	2883246	1289324
691	2887101	1285010
692	2890716	1280591
693	2894828	1276393
694	2898748	1272112
695	2902780	1267881
696	2906383	1263463
697	2910732	1259371
698	2914598	1255070
699	2919705	1251302
700	2923552	1246993
701	2927493	1242725
702	2931654	1238551
703	2936988	1234870
704	2940324	1230348
705	2944646	1226241
706	2948785	1222056
707	2952230	1217586
708	2955760	1213154
709	2959528	1208821
710	2963721	1204663
711	2968676	1200813
712	2972834	1196638
713	2976863	1192412
714	2981052	1188251
715	2984509	1183799
716	2988199	1179442
717	2992614	1175372
718	2995670	1170769
719	2998881	1166231
720	3002777	1161962
721	3008304	1158322
722	3011558	1153806
723	3015378	1149509
724	3018499	1144947
725	3022648	1140779
726	3025958	1136295
727	3029949	1132068
728	3034852	1128182
729	3038669	1123891
730	3042143	1119475
731	3047298	1115677
732	3050689	1111233
733	3054148	1106816
734	3057967	1102532
735	3063795	1098970
736	3069566	1095381
737	3073621	1091177
738	3077481	1086904
739	3081656	1082744
740	3085754	1078556
741	3090009	1074423
742	3094351	1070320
743	3099274	1066416
744	3104454	1062598
745	3108695	1058456
746	3113131	1054380
747	3118825	1050727
748	3122750	1046475
749	3126859	1042286
750	3131295	1038205
751	3134876	1033842
752	3138520	1029501
753	3142654	1025322
754	3148954	1021846
755	3153447	1017779
756	3158325	1013834
757	3162009	1009506
758	3166178	1005334
759	3171546	1001540
760	3174938	997122
761	3180276	993314
762	3184365	989114
763	3190416	985521
764	3194506	981319
765	3198928	977218
766	3203152	973056
767	3208331	969183
768	3212578	965026
769	3216647	960816
770	3220191	956451
771	3224279	952248
772	3228428	948063
773	3232739	943926
774	3238352	940166
775	3241925	935813
776	3245936	931587
777	3250112	927410
778	3253975	923143
779	3257464	918772
780	3261168	914463
781	3266693	910663
782	3270875	906487
783	3275239	902361
784	3280404	898454
785	3284211	894174
786	3287880	889858
787	3291385	885499
788	3295756	881374
789	3299381	877050
790	3303120	872758
791	3307107	868533
792	3310724	864211
793	3314614	859962
794	3318044	855596
795	3322975	851616
796	3326716	847331
797	3330148	842970
798	3333629	838622
799	3337546	834386
800	3341696	830209
801	3345130	825855
802	3349865	821822
803	3353529	817527
804	3358834	813630
805	3363503	809577
806	3366953	805231
807	3370386	800883
808	3374492	796697
809	3377971	792363
810	3381422	788025
811	3385072	783735
812	3390960	779962
813	3396304	776059
814	3400303	771848
815	3404517	767685
816	3408407	763449
817	3411834	759112
818	3415751	754885
819	3419264	750570
820	3423207	746351
821	3427888	742292
822	3431522	738006
823	3436930	734101
824	3441166	729944
825	3445286	725762
826	3449133	721523
827	3452462	717178
828	3456632	713008
829	3460765	708831
830	3464322	704537
831	3468332	700336
832	3472200	696107
833	3476250	691915
834	3479740	687613
835	3483679	683401
836	3487659	679197
837	3492396	675141
838	3496085	670881
839	3499774	666623
840	3504599	662581
841	3508423	658350
842	3511859	654047
843	3517253	650108
844	3521257	645911
845	3525398	641739
846	3529543	637568
847	3533655	633391
848	3537785	629217
849	3541798	625023
850	3545176	620718
851	3549923	616653
852	3553656	612412
853	3557407	608175
854	3561308	603964
855	3565205	599754
856	3568748	595485
857	3572430	591241
858	3576234	587018
859	3579782	582755
860	3583984	578599
861	3588803	574541
862	3592422	570291
863	3596129	566057
864	3599531	561776
865	3603407	557571
866	3607291	553367
867	3610913	549125
868	3615180	544981
869	3618510	540696
870	3622337	536488
871	3627154	532426
872	3630889	528204
873	3635771	524150
874	3640197	520028
875	3644340	515865
876	3648000	511635
877	3652615	507538
878	3656402	503327
879	3659834	499068
880	3663716	494871
881	3668573	490806
882	3671902	486537
883	3675586	482316
884	3680528	478260
885	3683944	474006
886	3687713	469798
887	3691170	465553
888	3694645	461311
889	3699262	457212
890	3703011	453005
891	3707940	448943
892	3711672	444735
893	3715311	440517
894	3719111	436320
895	3723138	432150
896	3727922	428066
897	3731669	423864
898	3735794	419705
899	3740071	415563
900	3744701	411459
901	3748563	407271
902	3753786	403230
903	3757390	399014
904	3761234	394825
905	3765072	390636
906	3769260	386484
907	3774765	382465
908	3779024	378318
909	3782943	374137
910	3787124	369982
911	3792950	365986
912	3797000	361817
913	3801708	357709
914	3805921	353555
915	3809651	349356
916	3813583	345177
917	3817252	340974
918	3820355	336723
919	3824139	332533
920	3827424	328302
921	3832660	324238
922	3837790	320162
923	3841175	315940
924	3845743	311817
925	3849433	307622
926	3853576	303463
927	3856966	299247
928	3860788	295065
929	3864396	290868
930	3868469	286707
931	3872348	282531
932	3876149	278351
933	3879400	274133
934	3884032	270012
935	3887938	265841
936	3890808	261601
937	3894498	257418
938	3897727	253206
939	3901427	249027
940	3905223	244854
941	3908627	240658
942	3913388	236546
943	3916978	232363
944	3920438	228173
945	3923841	223982
946	3927312	219796
947	3931034	215626
948	3936440	211547
949	3940016	207369
950	3943320	203178
951	3946999	199008
952	3950283	194819
953	3953806	190644
954	3957534	186480
955	3961012	182305
956	3964645	178139
957	3969656	174035
958	3973333	169871
959	3977235	165718
960	3981989	161600
961	3986573	157473
962	3990500	153321
963	3994021	149154
964	3999161	145047
965	4002847	140886
966	4008357	136789
967	4012116	132631
968	4015630	128467
969	4019514	124314
970	4023445	120164
971	4027254	116011
972	4030849	111852
973	4034157	107687
974	4038052	103539
975	4042950	99416
976	4047617	95286
977	4050934	91125
978	4054823	86977
979	4058435	82825
980	4062150	78675
981	4067679	74560
982	4072614	70431
983	4076403	66282
984	4081320	62152
985	4084495	57994
986	4089258	53860
987	4093820	49722
988	4098884	45589
989	4102516	41439
990	4106192	37291
991	4109943	33144
992	4115159	29009
993	4118931	24862
994	4122861	20717
995	4127074	16574
996	4130944	12430
997	4134288	8285
998	4140066	4144
999	4144991	0
